Model,Accuracy,Precision,Recall,F1_Score
RandomForest,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759
KNN,0.9795454545454545,0.9803555030827759,0.9795454545454545,0.9792832328133997
XGBoost,0.9931818181818182,0.9935064935064934,0.9931818181818182,0.9931162119865588
